"","pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"254","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","24328524",NA,"24328524",NA,350118363,NA,NA,"6"
"255","H5","2017",2017-01-01,"2017","6","1","2","Export","268","Georgia","GEO","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","2",NA,"2",NA,57,NA,NA,"0"
"256","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","202642786",NA,"202642786",NA,1025951174,NA,NA,"0"
"257","H5","2017",2017-01-01,"2017","6","1","2","Export","268","Georgia","GEO","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","1054",NA,"1054",NA,8783,NA,NA,"0"
"258","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","30920262",NA,"30920262",NA,310497572,NA,NA,"6"
"259","H5","2017",2017-01-01,"2017","4","0","2","Export","268","Georgia","GEO","0","World","WLD",NA,"","","","","","","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter","8","Weight in kilograms",NA,"","0",NA,"0",NA,289,NA,NA,"0"
"260","H5","2017",2017-01-01,"2017","6","1","2","Export","268","Georgia","GEO","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","5","Number of items",NA,"","6648",NA,"5616",NA,838835,NA,NA,"0"
"261","H5","2017",2017-01-01,"2017","6","1","2","Export","268","Georgia","GEO","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","150",NA,"150",NA,215686,NA,NA,"0"
"262","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","281111","Hydrogen fluoride (hydrofluoric acid)","8","Weight in kilograms",NA,"","3570",NA,"3570",NA,4034,NA,NA,"0"
"263","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","70716",NA,"70716",NA,774222,NA,NA,"0"
