HS6,zero,positive,sigma
220190,0,0,-6.638422
220210,0,0,-6.9169998
220290,0,0,-5.7509947
220300,0,0,-2.4675746
220410,0,0,-2.255043
220421,0,0,-4.8158331
220429,0,0,-2.5041044
220430,0,0,-4.2856131
220510,0,0,-1.6969306
220590,1,0,-1.6969306
220600,0,0,-2.219595
220710,1,0,
220720,1,0,
220820,0,0,-6.3772092
220830,0,0,-1.9146504
220840,0,0,-2.754765
220850,0,0,-.27678299
220860,0,0,-2.4078956
220870,0,0,-1.4331064
220890,0,0,-.29988718
220900,0,0,-2.1790135
230110,1,0,-9.3717089
230120,0,0,-9.3717089
230210,0,0,-9.6297522
230230,0,0,-6.0687523
230240,0,0,-5.3815074
230250,0,0,-19.162189
230310,0,0,-1.0671024
230320,1,0,-1.0671024
230330,1,0,-1.0671024
230400,1,0,
230500,1,0,
230610,0,0,-28.289387
230620,0,0,-16.910786
230630,0,0,-6.6968746
230641,0,0,-8.0600834
230649,0,0,-7.0507059
230650,1,0,-15.238413
230660,0,0,-29.544035
230690,0,0,-10.117017
230700,1,0,
230800,1,0,
230910,0,0,-3.5982075
230990,1,0,-3.5982075
240110,1,0,-.7828306
240120,0,0,-1.1467545
240130,0,0,-.41890669
240210,0,0,-6.4800625
240220,0,0,-2.5275135
240290,1,0,-4.503788
240310,0,0,-1.8156927
240391,0,0,-3.2785439
240399,0,0,-2.207123
250100,0,0,-11.329762
250200,0,0,-17.141842
250300,1,0,
250410,0,0,-17.281469
250490,0,0,-14.330729
250510,0,0,-17.659605
250590,1,0,-17.659605
250610,1,0,-71.509079
250620,0,0,-71.509079
250700,0,0,-16.768446
250810,0,0,-10.799232
250830,0,0,-18.413168
250840,1,0,-17.083286
250850,1,0,-17.083286
250860,0,0,-19.129768
250870,0,0,-19.990974
250900,0,0,-21.226002
251010,1,0,
251020,1,0,
251110,1,0,
251120,1,0,
251200,0,0,-25.139698
251310,1,0,-15.422848
251320,0,0,-15.422848
251400,0,0,-18.161894
251511,0,0,-5.1944189
