Worldwide Total  System Sales Sales,,,,,,,,
"(Total sales in $M, calendar year)",,,,,,,,
,,,,,,,,
AOW,MSTRID,COMPANY,2016,2017,2018,2019,2020,
EU,RAITH,Raith GmbH,1.0,0.9,1.0,NA,NA,
NA,SEMIX,SEMIX,6.1,6.2,5.5,NA,NA,
EU,SENT,SENTECH Inst,1.2,1.2,1.3,NA,NA,
JA,SIG,Sigmameltec,1.6,1.5,1.3,NA,NA,
JA,SKS,Shinko Seiki,3.5,3.6,3.1,NA,NA,
JA,TAZMO,TAZMO,0.2,0.2,0.3,NA,NA,
NA,AKRIO,AKrion,32.6,34.9,EX,EX,EX,
EU,ALTK,Altatech,2.5,EX,EX,EX,EX,
EU,AMT,AMICRA Microtech,8.7,9.0,5.1,0.0,EX,
NA,ATM,American Tech Mfg,5.4,EX,EX,EX,EX,
CH,BJNMC,Beijing North Micro,29.8,EX,EX,EX,EX,
NA,CCMT,Cascade Microtech,27.0,EX,EX,EX,EX,
KS,DMSCO,DMS,32.7,29.4,25.3,0.0,EX,
NA,ESI,ESI,32.2,33.7,59.3,17.7,EX,
TW,HMII,Hermes MicroVision,116.2,EX,EX,EX,EX,
NA,ILB,Interlab,5.3,EX,EX,EX,EX,
JA,KDK,Kokuyo Electric,2.0,EX,EX,EX,EX,
EU,KOBUS,KOBUS,NA,11.2,7.1,EX,EX,
JA,MSUI,m FSI,10.0,EX,EX,EX,EX,
NA,NAN,Nanometrics,140.3,168.1,244.0,176.1,EX,
NA,RDR,Rudolph Tech,158.2,176.0,195.4,122.6,EX,
JA,SHEL,Shinano Electronics,3.3,EX,EX,EX,EX,
NA,SIMM,SimmPro Sys,0.6,EX,EX,EX,EX,
CH,SSTAR,SevenStar,2.0,EX,EX,EX,EX,
EU,STS,SPTS Tech,242.2,237.5,263.7,EX,EX,
JA,TCL,Technos,10.6,EX,EX,EX,EX,
EU,TECSE,Tec-Sem,11.0,11.0,3.6,0.0,EX,
EU,TTL,Tetreon Tech,1.2,1.1,1.0,NA,EX,
NA,ULTS,Ultratech,155.1,82.1,EX,EX,EX,
KS,WTERA,Wonik Tera,28.5,103.2,120.3,EX,EX,
NA,XCRA,Xcerra,194.8,297.5,232.2,0.0,EX,
,other,other,186.3,195.9,196.4,142.8,157.6,
,,Total,44815.0,59628.9,69277.5,62587.3,73602.3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Copyright © VLSI Research Inc. All rights reserved.,,,,,,,cmrseqdb_mktshr_total_sys_sales_yr_v21.05,
Distribution rights contained in T&Cs.,,,,,,,,
